level,seed,wifiStandard,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,dataRateMbps,jainFairness,throughputPerNodeMbps,lossRate,efficiency
aggregate,1,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19509,6,0.9997,20.550557,0.000191,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed1.csv,2.0,0.9999999343806942,2.0550557,0.00029999999999996696,1.02752785
aggregate,2,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19510,5,0.9997,20.551692,0.000189,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed2.csv,2.0,0.9999999336432173,2.0551692,0.00029999999999996696,1.0275846
aggregate,3,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19507,8,0.9996,20.548506,0.000193,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed3.csv,2.0,0.9999998570696639,2.0548506,0.00039999999999995595,1.0274253
aggregate,1,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19508,7,0.9996,20.549497,0.000218,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed1.csv,2.0,0.9999998414841094,2.0549497,0.00039999999999995595,1.02747485
aggregate,2,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19507,8,0.9996,20.549538,0.000217,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed2.csv,2.0,0.9999998447405026,2.0549538,0.00039999999999995595,1.0274769
aggregate,3,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19506,9,0.9995,20.547288,0.000219,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed3.csv,2.0,0.9999997569167146,2.0547288000000004,0.0004999999999999449,1.0273644000000002
aggregate,1,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19509,6,0.9997,20.550491,0.000256,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed1.csv,2.0,0.9999998324297499,2.0550491,0.00029999999999996696,1.02752455
aggregate,2,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19509,6,0.9997,20.550468,0.000255,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed2.csv,2.0,0.9999998907129636,2.0550468,0.00029999999999996696,1.0275234
aggregate,3,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19508,7,0.9996,20.54939,0.000259,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed3.csv,2.0,0.9999998425657052,2.054939,0.00039999999999995595,1.0274695
aggregate,1,80211ax,10,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19508,7,0.9996,20.54935,0.000294,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_40m_seed1.csv,2.0,0.9999998409685784,2.054935,0.00039999999999995595,1.0274675
aggregate,2,80211ax,10,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19507,8,0.9996,20.548319,0.000294,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_40m_seed2.csv,2.0,0.9999997038728653,2.0548319,0.00039999999999995595,1.02741595
aggregate,3,80211ax,10,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19507,8,0.9996,20.548154,0.000296,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_40m_seed3.csv,2.0,0.999999804813637,2.0548154,0.00039999999999995595,1.0274077
aggregate,1,80211ax,10,50.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,15612,3903,0.8,16.443372,0.000191,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_50m_seed1.csv,2.0,0.7999999625796371,1.6443372,0.19999999999999996,0.8221686
aggregate,2,80211ax,10,50.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,15611,3904,0.7999,16.442245,0.000194,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_50m_seed2.csv,2.0,0.7999998994488031,1.6442245,0.20009999999999994,0.82211225
aggregate,3,80211ax,10,50.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,15612,3903,0.8,16.443373,0.000196,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_50m_seed3.csv,2.0,0.7999999622740576,1.6443373000000001,0.19999999999999996,0.8221686500000001
