level,seed,wifiStandard,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,dataRateMbps
flow,1,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,1,10.1.1.1,10.1.1.11,1953,1953,0,1.0,2.055719,0.000135,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed1.csv,2.0
flow,1,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,2,10.1.1.2,10.1.1.11,1952,1952,0,1.0,2.055673,0.00014,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed1.csv,2.0
flow,1,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,3,10.1.1.3,10.1.1.11,1952,1951,1,0.9995,2.054631,0.000229,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed1.csv,2.0
flow,1,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,4,10.1.1.4,10.1.1.11,1952,1952,0,1.0,2.055683,0.000217,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed1.csv,2.0
flow,1,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,5,10.1.1.5,10.1.1.11,1952,1951,1,0.9995,2.054599,0.000373,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed1.csv,2.0
flow,1,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,6,10.1.1.6,10.1.1.11,1951,1950,1,0.9995,2.054539,0.0004,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed1.csv,2.0
flow,1,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,7,10.1.1.7,10.1.1.11,1951,1950,1,0.9995,2.054666,9.7e-05,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed1.csv,2.0
flow,1,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,8,10.1.1.8,10.1.1.11,1951,1951,0,1.0,2.05572,8.8e-05,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed1.csv,2.0
flow,1,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,9,10.1.1.9,10.1.1.11,1951,1950,1,0.9995,2.054666,0.000118,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed1.csv,2.0
flow,1,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,10,10.1.1.10,10.1.1.11,1950,1949,1,0.9995,2.054661,0.000118,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed1.csv,2.0
flow,2,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,1,10.1.1.1,10.1.1.11,1953,1953,0,1.0,2.055717,0.000143,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed2.csv,2.0
flow,2,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,2,10.1.1.2,10.1.1.11,1952,1952,0,1.0,2.055718,0.000119,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed2.csv,2.0
flow,2,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,3,10.1.1.3,10.1.1.11,1952,1951,1,0.9995,2.054618,0.000228,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed2.csv,2.0
flow,2,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,4,10.1.1.4,10.1.1.11,1952,1952,0,1.0,2.055698,0.000221,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed2.csv,2.0
flow,2,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,5,10.1.1.5,10.1.1.11,1952,1952,0,1.0,2.055637,0.000367,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed2.csv,2.0
flow,2,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,6,10.1.1.6,10.1.1.11,1951,1950,1,0.9995,2.054591,0.000401,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed2.csv,2.0
flow,2,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,7,10.1.1.7,10.1.1.11,1951,1950,1,0.9995,2.054665,9.7e-05,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed2.csv,2.0
flow,2,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,8,10.1.1.8,10.1.1.11,1951,1951,0,1.0,2.055718,9.3e-05,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed2.csv,2.0
flow,2,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,9,10.1.1.9,10.1.1.11,1951,1950,1,0.9995,2.054667,0.000102,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed2.csv,2.0
flow,2,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,10,10.1.1.10,10.1.1.11,1950,1949,1,0.9995,2.054662,0.000115,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed2.csv,2.0
flow,3,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,1,10.1.1.1,10.1.1.11,1953,1952,1,0.9995,2.054667,0.000135,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed3.csv,2.0
