wifiStandard,nStations,distance,propagationModel,dataRate,txPackets_mean,txPackets_std,txPackets_var,txPackets_count,rxPackets_mean,rxPackets_std,rxPackets_var,rxPackets_count,lostPackets_mean,lostPackets_std,lostPackets_var,lostPackets_count,pdr_mean,pdr_std,pdr_var,pdr_count,lossRate_mean,lossRate_std,lossRate_var,lossRate_count,throughputMbps_mean,throughputMbps_std,throughputMbps_var,throughputMbps_count,throughputPerNodeMbps_mean,throughputPerNodeMbps_std,throughputPerNodeMbps_var,throughputPerNodeMbps_count,meanDelay_mean,meanDelay_std,meanDelay_var,meanDelay_count,offeredLoadMbps_mean,offeredLoadMbps_std,offeredLoadMbps_var,offeredLoadMbps_count,efficiency_mean,efficiency_std,efficiency_var,efficiency_count,jainFairness_mean,jainFairness_std,jainFairness_var,jainFairness_count,txPackets_ci95,rxPackets_ci95,lostPackets_ci95,pdr_ci95,lossRate_ci95,throughputMbps_ci95,throughputPerNodeMbps_ci95,meanDelay_ci95,offeredLoadMbps_ci95,efficiency_ci95,jainFairness_ci95
80211ax,5,5.0,friis,1Mbps,4880.0,0.0,0.0,3,4880.0,0.0,0.0,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.141930666666666,2.5166114784077186e-06,6.333333333253482e-12,3,1.0283861333333333,5.03322295640369e-07,2.5333333328869097e-13,3,8.766666666666667e-05,3.785938897200182e-06,1.4333333333333327e-11,3,5.0,0.0,0.0,3,1.0283861333333333,5.03322295640369e-07,2.5333333328869097e-13,3,0.9999999999999497,8.719033166585466e-14,7.602153936001738e-27,3,0.0,0.0,0.0,0.0,0.0,6.2521140513124265e-06,1.2504228101601935e-06,9.405552656690503e-06,0.0,1.2504228101601935e-06,2.1661027235383398e-13
80211ax,5,5.0,friis-nakagami,1Mbps,4880.0,0.0,0.0,3,4880.0,0.0,0.0,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.141888000000001,3.651027252743522e-05,1.3330000000275907e-09,3,1.0283776,7.302054505515019e-06,5.332000000151219e-11,3,0.0005776666666666668,4.007908847932219e-05,1.6063333333333368e-09,3,5.0,0.0,0.0,3,1.0283776,7.302054505515019e-06,5.332000000151219e-11,3,0.999999999604117,3.8216630167300985e-10,1.4605108213442596e-19,3,0.0,0.0,0.0,0.0,0.0,9.070386503619139e-05,1.8140773007307777e-05,9.957001086393666e-05,0.0,1.8140773007307777e-05,9.494303451797371e-10
80211ax,5,5.0,logdistance,1Mbps,4880.0,0.0,0.0,3,4880.0,0.0,0.0,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.141928666666666,2.5166114783488976e-06,6.333333332957423e-12,3,1.0283857333333335,5.033222956072821e-07,2.533333332553843e-13,3,9.1e-05,2.6457513110645852e-06,6.999999999999971e-12,3,5.0,0.0,0.0,3,1.0283857333333335,5.033222956072821e-07,2.533333332553843e-13,3,0.9999999999991426,4.367368742798624e-13,1.9073909735574434e-25,3,0.0,0.0,0.0,0.0,0.0,6.2521140511662955e-06,1.2504228100779942e-06,6.572941071798313e-06,0.0,1.2504228100779942e-06,1.0850021037570032e-12
80211ax,5,10.0,friis,1Mbps,4880.0,0.0,0.0,3,4880.0,0.0,0.0,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.141931333333333,5.773502695267216e-07,3.333333337225781e-13,3,1.0283862666666665,1.1547005388931963e-07,1.3333333345202381e-14,3,8.800000000000001e-05,3.6055512754639888e-06,1.2999999999999995e-11,3,5.0,0.0,0.0,3,1.0283862666666665,1.1547005388931963e-07,1.3333333345202381e-14,3,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1.4343333341707936e-06,2.86866666794348e-07,8.95740879570277e-06,0.0,2.86866666794348e-07,0.0
80211ax,5,10.0,friis-nakagami,1Mbps,4880.0,0.0,0.0,3,4879.333333333333,1.1547005383793172,1.333333333333485,3,0.6666666666666666,1.1547005383792517,1.3333333333333335,3,0.9998666666666667,0.00023094010767582486,5.333333333332158e-08,3,0.00013333333333331865,0.00023094010767582486,5.333333333332158e-08,3,5.141582666666667,0.0004269195864951092,1.82260333333155e-07,3,1.0283165333333333,8.538391729899065e-05,7.2904133333208746e-09,3,0.0007166666666666667,5.5895736271502255e-05,3.124333333333333e-09,3,5.0,0.0,0.0,3,1.0283165333333333,8.538391729899065e-05,7.2904133333208746e-09,3,0.9999999670448713,5.264735563217868e-08,2.771744055061096e-15,3,0.0,2.86866666666683,2.868666666666667,0.0005737333333332702,0.0005737333333332702,0.0010606126406112384,0.0002121225281221702,0.00013886391330163658,0.0,0.0002121225281221702,1.3079383716418846e-07
80211ax,5,10.0,logdistance,1Mbps,4880.0,0.0,0.0,3,4880.0,0.0,0.0,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.141915,1.73205080781098e-06,3.000000000838668e-12,3,1.028383,3.464101614916873e-07,1.199999999846969e-13,3,0.00011333333333333334,3.214550253664319e-06,1.0333333333333338e-11,3,5.0,0.0,0.0,3,1.028383,3.464101614916873e-07,1.199999999846969e-13,3,0.9999999999883254,1.5690564132199831e-12,2.4619380278667587e-24,3,0.0,0.0,0.0,0.0,0.0,4.303000000601465e-06,8.605999999451256e-07,7.98603001775253e-06,0.0,8.605999999451256e-07,3.8980667983765825e-12
80211ax,5,20.0,friis,1Mbps,4880.0,0.0,0.0,3,4880.0,0.0,0.0,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.141923666666667,1.2858201014681645e-05,1.6533333333396008e-10,3,1.0283847333333334,2.5716402029248164e-06,6.6133333332991915e-12,3,8.833333333333333e-05,3.214550253664319e-06,1.0333333333333338e-11,3,5.0,0.0,0.0,3,1.0283847333333334,2.5716402029248164e-06,6.6133333332991915e-12,3,0.9999999999777099,3.847684283162284e-11,1.4804674342894062e-21,3,0.0,0.0,0.0,0.0,0.0,3.1944120071070665e-05,6.388824014185531e-06,7.98603001775253e-06,0.0,6.388824014185531e-06,9.558949078223801e-11
80211ax,5,20.0,friis-nakagami,1Mbps,4880.0,0.0,0.0,3,4878.0,2.6457513110645907,7.0,3,2.0,2.6457513110645907,7.0,3,0.9996,0.0005291502622129385,2.8000000000002157e-07,3,0.00039999999999999297,0.0005291502622129227,2.800000000000049e-07,3,5.141808,4.1581245772390877e-05,1.728999999983974e-09,3,1.0283616,8.316249154462154e-06,6.91599999990925e-11,3,0.0015406666666666667,0.0001434933215635255,2.059033333333333e-08,3,5.0,0.0,0.0,3,1.0283616,8.316249154462154e-06,6.91599999990925e-11,3,0.9999999981861686,1.7752189259975505e-09,3.1514022352198968e-18,3,0.0,6.5729410717983265,6.5729410717983265,0.001314588214359716,0.001314588214359677,0.0001033018776220182,2.0660375524363838e-05,0.0003564859413994393,0.0,2.0660375524363838e-05,4.4102442059937635e-09
80211ax,5,20.0,logdistance,1Mbps,4880.0,0.0,0.0,3,2928.0,0.0,0.0,3,1952.0,0.0,0.0,3,0.6,0.0,0.0,3,0.4000000000000001,0.0,0.0,3,3.0851486666666665,5.773502692703266e-07,3.3333333342651864e-13,3,0.6170297333333333,1.1547005380118386e-07,1.3333333324848293e-14,3,6.8e-05,1.7320508075688725e-06,2.999999999999983e-12,3,5.0,0.0,0.0,3,0.6170297333333333,1.1547005380118386e-07,1.3333333324848293e-14,3,0.5999999999920994,2.329284702016411e-12,5.4255672230476805e-24,3,0.0,0.0,0.0,0.0,0.0,1.4343333335338218e-06,2.868666665753889e-07,4.302999999999988e-06,0.0,2.868666665753889e-07,5.78673098328153e-12
80211ax,5,30.0,friis,1Mbps,4880.0,0.0,0.0,3,4880.0,0.0,0.0,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.141926333333333,2.3094010770813065e-06,5.333333334824298e-12,3,1.0283852666666666,4.618802154931798e-07,2.133333334640262e-13,3,9.433333333333333e-05,3.214550253664319e-06,1.0333333333333338e-11,3,5.0,0.0,0.0,3,1.0283852666666666,4.618802154931798e-07,2.133333334640262e-13,3,0.9999999999988907,3.491299000342312e-13,1.2189168709791226e-25,3,0.0,0.0,0.0,0.0,0.0,5.737333334135287e-06,1.1474666670181489e-06,7.98603001775253e-06,0.0,1.1474666670181489e-06,8.673567503230159e-13
