dataRate,distance,efficiency_ci95,efficiency_count,efficiency_mean,efficiency_std,efficiency_var,jainFairness_ci95,jainFairness_count,jainFairness_mean,jainFairness_std,jainFairness_var,lossRate_ci95,lossRate_count,lossRate_mean,lossRate_std,lossRate_var,lostPackets_ci95,lostPackets_count,lostPackets_mean,lostPackets_std,lostPackets_var,meanDelay_ci95,meanDelay_count,meanDelay_mean,meanDelay_std,meanDelay_var,nStations,offeredLoadMbps_ci95,offeredLoadMbps_count,offeredLoadMbps_mean,offeredLoadMbps_std,offeredLoadMbps_var,pdr_ci95,pdr_count,pdr_mean,pdr_std,pdr_var,propagationModel,rxPackets_ci95,rxPackets_count,rxPackets_mean,rxPackets_std,rxPackets_var,throughputMbps_ci95,throughputMbps_count,throughputMbps_mean,throughputMbps_std,throughputMbps_var,throughputPerNodeMbps_ci95,throughputPerNodeMbps_count,throughputPerNodeMbps_mean,throughputPerNodeMbps_std,throughputPerNodeMbps_var,trafficType,txPackets_ci95,txPackets_count,txPackets_mean,txPackets_std,txPackets_var,wifiStandard
1mbps,5.0,1.2504228101601937e-06,3,1.0283861333333333,5.03322295640369e-07,2.5333333328869097e-13,2.1661027235383403e-13,3,0.9999999999999496,8.719033166585467e-14,7.602153936001738e-27,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,9.405552656690504e-06,3,8.766666666666667e-05,3.785938897200182e-06,1.4333333333333327e-11,5.0,0.0,3,5.0,0.0,0.0,0.0,3,1.0,0.0,0.0,friis,0.0,3,4880.0,0.0,0.0,6.2521140513124265e-06,3,5.141930666666666,2.5166114784077186e-06,6.333333333253482e-12,1.2504228101601937e-06,3,1.0283861333333333,5.03322295640369e-07,2.5333333328869097e-13,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,5.0,1.8140773007307777e-05,3,1.0283776,7.302054505515019e-06,5.3320000001512186e-11,9.494303451797371e-10,3,0.999999999604117,3.821663016730098e-10,1.4605108213442596e-19,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,9.957001086393666e-05,3,0.0005776666666666,4.007908847932219e-05,1.6063333333333366e-09,5.0,0.0,3,5.0,0.0,0.0,0.0,3,1.0,0.0,0.0,friis-nakagami,0.0,3,4880.0,0.0,0.0,9.07038650361914e-05,3,5.141888000000001,3.651027252743522e-05,1.3330000000275907e-09,1.8140773007307777e-05,3,1.0283776,7.302054505515019e-06,5.3320000001512186e-11,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,5.0,1.2504228100779942e-06,3,1.0283857333333335,5.033222956072821e-07,2.5333333325538433e-13,1.0850021037570032e-12,3,0.9999999999991426,4.367368742798624e-13,1.9073909735574437e-25,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,6.572941071798313e-06,3,9.1e-05,2.645751311064585e-06,6.999999999999971e-12,5.0,0.0,3,5.0,0.0,0.0,0.0,3,1.0,0.0,0.0,logdistance,0.0,3,4880.0,0.0,0.0,6.252114051166296e-06,3,5.141928666666666,2.5166114783488976e-06,6.333333332957423e-12,1.2504228100779942e-06,3,1.0283857333333335,5.033222956072821e-07,2.5333333325538433e-13,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,10.0,2.86866666794348e-07,3,1.0283862666666663,1.1547005388931965e-07,1.333333334520238e-14,0.0,3,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,8.95740879570277e-06,3,8.800000000000001e-05,3.6055512754639888e-06,1.2999999999999995e-11,5.0,0.0,3,5.0,0.0,0.0,0.0,3,1.0,0.0,0.0,friis,0.0,3,4880.0,0.0,0.0,1.4343333341707936e-06,3,5.141931333333333,5.773502695267216e-07,3.333333337225781e-13,2.86866666794348e-07,3,1.0283862666666663,1.1547005388931965e-07,1.333333334520238e-14,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,10.0,0.0002121225281221,3,1.0283165333333333,8.538391729899065e-05,7.290413333320873e-09,1.3079383716418846e-07,3,0.9999999670448712,5.2647355632178685e-08,2.771744055061096e-15,0.0005737333333332,3,0.0001333333333333,0.0002309401076758,5.333333333332158e-08,2.868666666666667,3,0.6666666666666666,1.1547005383792517,1.3333333333333337,0.0001388639133016,3,0.0007166666666666,5.5895736271502255e-05,3.124333333333333e-09,5.0,0.0,3,5.0,0.0,0.0,0.0005737333333332,3,0.9998666666666668,0.0002309401076758,5.333333333332158e-08,friis-nakagami,2.86866666666683,3,4879.333333333333,1.1547005383793172,1.333333333333485,0.0010606126406112,3,5.141582666666667,0.0004269195864951,1.82260333333155e-07,0.0002121225281221,3,1.0283165333333333,8.538391729899065e-05,7.290413333320873e-09,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,10.0,8.605999999451256e-07,3,1.028383,3.464101614916873e-07,1.199999999846969e-13,3.898066798376583e-12,3,0.9999999999883254,1.5690564132199833e-12,2.4619380278667587e-24,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,7.98603001775253e-06,3,0.0001133333333333,3.214550253664319e-06,1.0333333333333338e-11,5.0,0.0,3,5.0,0.0,0.0,0.0,3,1.0,0.0,0.0,logdistance,0.0,3,4880.0,0.0,0.0,4.303000000601465e-06,3,5.141915,1.73205080781098e-06,3.000000000838668e-12,8.605999999451256e-07,3,1.028383,3.464101614916873e-07,1.199999999846969e-13,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,20.0,6.388824014185531e-06,3,1.0283847333333334,2.5716402029248164e-06,6.613333333299192e-12,9.5589490782238e-11,3,0.99999999997771,3.8476842831622836e-11,1.4804674342894064e-21,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,7.98603001775253e-06,3,8.833333333333333e-05,3.214550253664319e-06,1.0333333333333338e-11,5.0,0.0,3,5.0,0.0,0.0,0.0,3,1.0,0.0,0.0,friis,0.0,3,4880.0,0.0,0.0,3.1944120071070665e-05,3,5.141923666666667,1.2858201014681643e-05,1.6533333333396008e-10,6.388824014185531e-06,3,1.0283847333333334,2.5716402029248164e-06,6.613333333299192e-12,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,20.0,2.066037552436384e-05,3,1.0283616,8.316249154462154e-06,6.915999999909249e-11,4.4102442059937635e-09,3,0.9999999981861686,1.7752189259975503e-09,3.1514022352198968e-18,0.0013145882143596,3,0.0003999999999999,0.0005291502622129,2.800000000000049e-07,6.572941071798327,3,2.0,2.6457513110645907,7.0,0.0003564859413994,3,0.0015406666666666,0.0001434933215635,2.059033333333333e-08,5.0,0.0,3,5.0,0.0,0.0,0.0013145882143597,3,0.9996,0.0005291502622129,2.800000000000216e-07,friis-nakagami,6.572941071798327,3,4878.0,2.6457513110645907,7.0,0.000103301877622,3,5.141808,4.158124577239088e-05,1.7289999999839741e-09,2.066037552436384e-05,3,1.0283616,8.316249154462154e-06,6.915999999909249e-11,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,20.0,2.868666665753889e-07,3,0.6170297333333333,1.1547005380118387e-07,1.3333333324848291e-14,5.78673098328153e-12,3,0.5999999999920994,2.329284702016411e-12,5.4255672230476805e-24,0.0,3,0.4000000000000001,0.0,0.0,0.0,3,1952.0,0.0,0.0,4.302999999999988e-06,3,6.8e-05,1.7320508075688725e-06,2.9999999999999828e-12,5.0,0.0,3,5.0,0.0,0.0,0.0,3,0.6,0.0,0.0,logdistance,0.0,3,2928.0,0.0,0.0,1.4343333335338218e-06,3,3.0851486666666665,5.773502692703266e-07,3.333333334265187e-13,2.868666665753889e-07,3,0.6170297333333333,1.1547005380118387e-07,1.3333333324848291e-14,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,30.0,1.1474666670181489e-06,3,1.0283852666666666,4.618802154931798e-07,2.1333333346402622e-13,8.673567503230159e-13,3,0.9999999999988908,3.491299000342312e-13,1.2189168709791226e-25,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,7.98603001775253e-06,3,9.433333333333331e-05,3.214550253664319e-06,1.0333333333333338e-11,5.0,0.0,3,5.0,0.0,0.0,0.0,3,1.0,0.0,0.0,friis,0.0,3,4880.0,0.0,0.0,5.737333334135287e-06,3,5.141926333333333,2.3094010770813065e-06,5.333333334824298e-12,1.1474666670181489e-06,3,1.0283852666666666,4.618802154931798e-07,2.1333333346402622e-13,udp,0.0,3,4880.0,0.0,0.0,80211ax
