level,seed,wifiStandard,trafficType,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,flow,2,80211g,tcp,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024.1,60.0,1,10.1.1.1,10.1.1.31,2270,2270.1,0,1.0,1.35083,0.004406,dataRateMbps
aggregate,1.0,80211ax,tcp,10.0,10.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,57705.0,57695.0,10.0,0.9998,22.705394,0.001763,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,10.0,10.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,57720.0,57709.0,11.0,0.9998,22.711003,0.001881,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_10m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,10.0,10.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,57689.0,57676.0,13.0,0.9998,22.701823,0.001594,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_10m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,10.0,20.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,56972.0,56964.0,8.0,0.9999,22.418578,0.002074,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,10.0,20.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,58438.0,58423.0,15.0,0.9997,22.994898,0.002304,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_20m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,10.0,20.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,57682.0,57669.0,13.0,0.9998,22.6989,0.002526,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_20m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,10.0,30.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,58415.0,58391.0,24.0,0.9996,22.987094,0.003061,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,10.0,30.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,58436.0,58417.0,19.0,0.9997,22.995279,0.00311,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_30m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,10.0,30.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,56974.0,56957.0,17.0,0.9997,22.420363,0.003168,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_30m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,10.0,40.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,58416.0,58388.0,28.0,0.9995,22.987879,0.004732,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_40m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,10.0,40.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,58422.0,58395.0,27.0,0.9995,22.991213,0.00438,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_40m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,10.0,40.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,56235.0,56215.0,20.0,0.9996,22.129729,0.00406,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_40m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,10.0,50.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,46767.0,46760.0,7.0,0.9999,18.398727,0.0007,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_50m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,10.0,50.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,46782.0,46766.0,16.0,0.9997,18.4037,0.001199,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_50m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,10.0,50.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,44603.0,44584.0,19.0,0.9996,17.545045,0.001123,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_50m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
