level,seed,wifiStandard,trafficType,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,lossRate,throughputMbps,throughputPerNodeMbps,meanDelay,jainFairness,efficiency
aggregate,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1,ALL_STA,AP,9752.0,9752.0,0.0,1.0,0.0,5.499579000000001,1.0999158000000002,0.00017,0.9999999241066027,1.0999158000000002
aggregate,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,-1,ALL_STA,AP,9512.0,9512.0,0.0,1.0,0.0,5.362975,1.072595,0.0002326,0.9973495470961993,1.072595
aggregate,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,-1,ALL_STA,AP,9752.0,9752.0,0.0,1.0,0.0,5.499636,1.0999272,0.0001748,0.999999928868805,1.0999272
aggregate,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1,ALL_STA,AP,9752.0,9752.0,0.0,1.0,0.0,5.499646,1.0999292,0.0001714,0.9999999278064479,1.0999292
aggregate,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,-1,ALL_STA,AP,9756.0,9756.0,0.0,1.0,0.0,5.501494,1.1002988,0.0002288,0.9999999542865263,1.1002988
aggregate,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,-1,ALL_STA,AP,9752.0,9752.0,0.0,1.0,0.0,5.499611000000001,1.0999222000000002,0.00019560000000000004,0.9999999265713049,1.0999222000000002
aggregate,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1,ALL_STA,AP,9752.0,9752.0,0.0,1.0,0.0,5.499626000000001,1.0999252000000002,0.0001748,0.9999999268312447,1.0999252000000002
aggregate,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,-1,ALL_STA,AP,9756.0,9756.0,0.0,1.0,0.0,5.500841,1.1001682000000002,0.00039500000000000006,0.9999998705591425,1.1001682000000002
aggregate,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,-1,ALL_STA,AP,5860.0,5856.0,4.0,0.9993174061433447,0.0006825938566552558,3.300932,0.6601864,5.8e-05,0.5999999722529215,0.6601864
aggregate,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1,ALL_STA,AP,9752.0,9752.0,0.0,1.0,0.0,5.499656,1.0999311999999999,0.0001788,0.999999929486259,1.0999311999999999
