level,seed,wifiStandard,trafficType,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,flow,2,80211g,tcp,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024.1,60.0,1,10.1.1.1,10.1.1.31,2270,2270.1,0,1.0,1.35083,0.004406,dataRateMbps
flow,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099714,0.000218,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100424,7.1e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,3.0,10.1.1.3,10.1.1.6,1950.0,1950.0,0.0,1.0,1.100106,7.1e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099685,7.5e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,7.0,10.1.1.5,10.1.1.6,1950.0,1950.0,0.0,1.0,1.09965,0.000415,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100539,7.3e-05,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100345,0.00014,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,4.0,10.1.1.3,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100383,0.000249,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099698,0.000329,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,5.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,7.0,10.1.1.5,10.1.1.6,1706.0,1706.0,0.0,1.0,0.96201,0.000372,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
