wifiStandard,trafficType,nStations,propagationModel,throughputMbps_mean,throughputPerNodeMbps_mean,pdr_mean,meanDelay_mean,jainFairness_mean,efficiency_mean
80211ax,tcp,5.0,friis,5.499906500000001,1.0999813,1.0,0.00017346666666666666,0.9999997128074164,1.0999813
80211ax,tcp,10.0,friis,20.911933666666666,2.091193366666667,0.9998276816231324,0.0012970277777777778,0.9646256899866418,1.0455966833333334
80211ax,tcp,20.0,friis,31.35592552777778,1.567796276388889,0.9975789509184252,0.010530383333333332,0.729960247440733,0.7838981381944445
80211ax,tcp,30.0,friis,37.12311916666667,1.2374373055555556,0.9963029427687942,0.012175364814814816,0.5981233012935943,0.6187186527777778
80211ax,tcp,50.0,friis,37.70366227777778,0.7540732455555555,0.9955060562051136,0.009834623333333334,0.44480656713185546,0.3770366227777778
80211ax,tcp,5.0,friis-nakagami,5.416889722222223,1.0833779444444445,0.9998961075603273,0.000917088888888889,0.9986155566079672,1.0833779444444445
80211ax,tcp,10.0,friis-nakagami,18.113998944444447,1.8113998944444445,0.994905678328,0.03207513333333334,0.8659969597534224,0.9056999472222222
80211ax,tcp,20.0,friis-nakagami,23.81186166666667,1.1905930833333331,0.9931738857233916,0.03137931111111111,0.6198604169557136,0.5952965416666666
80211ax,tcp,30.0,friis-nakagami,22.497119055555554,0.7499039685185185,0.990511597789268,0.028997477777777777,0.470852083797698,0.37495198425925924
80211ax,tcp,50.0,friis-nakagami,20.059702833333333,0.4011940566666667,0.985430461474531,0.03393060888888889,0.3254912352980184,0.20059702833333334
80211ax,tcp,5.0,logdistance,3.4841522222222223,0.6968304444444445,0.9991074334211879,8.087777777777778e-05,0.6333332186053827,0.6968304444444445
80211ax,tcp,10.0,logdistance,9.116821055555556,0.9116821055555556,0.9986898894814633,0.0002967277777777777,0.4164329562933991,0.4558410527777778
80211ax,tcp,20.0,logdistance,9.450713944444443,0.47253569722222216,0.9968842947426096,0.0002837666666666667,0.21622091559358347,0.23626784861111108
80211ax,tcp,30.0,logdistance,9.422640777777778,0.31408802592592594,0.9951404227477951,0.00018061111111111113,0.1442788463032391,0.15704401296296297
80211ax,tcp,50.0,logdistance,9.4825425,0.18965085,0.991618259442783,0.00011013555555555557,0.08662138229201148,0.094825425
80211g,tcp,5.0,friis,10.607380222222222,2.1214760444444445,0.9999145649648007,0.0004991333333333333,0.999139985261722,2.1214760444444445
80211g,tcp,10.0,friis,28.056406888888887,2.805640688888889,0.9968206014988192,0.007772472222222222,0.9389636897313723,1.4028203444444445
80211g,tcp,20.0,friis,27.51866688888889,1.3759333444444444,0.995440585171378,0.013223858333333333,0.7249007863267142,0.6879666722222222
80211g,tcp,30.0,friis,25.632198250000002,0.8544066083333334,0.9924665800768243,0.01316282037037037,0.5787652663261046,0.4272033041666667
80211g,tcp,50.0,friis,13.594036805555556,0.27188073611111113,0.9917397429636741,0.013483539444444444,0.425148519079797,0.13594036805555557
80211g,tcp,5.0,friis-nakagami,10.327352,2.0654704,0.9975844409443404,0.005623922222222222,0.9673582837349218,2.0654704
80211g,tcp,10.0,friis-nakagami,17.47820311111111,1.747820311111111,0.9925763127600696,0.03936867777777778,0.62727366069677,0.8739101555555555
80211g,tcp,20.0,friis-nakagami,14.339984666666666,0.7169992333333334,0.9887402422684685,0.04402135277777778,0.41351632479684985,0.3584996166666667
80211g,tcp,30.0,friis-nakagami,6.807749833333333,0.22692499444444444,0.985708415314341,0.05264713333333334,0.2862663655391366,0.11346249722222222
80211g,tcp,50.0,friis-nakagami,6.189774388888889,0.12379548777777777,0.9822224817002961,0.05893406222222222,0.15861548938486855,0.061897743888888884
80211g,tcp,5.0,logdistance,6.919824777777779,1.3839649555555555,0.9989929525661779,0.00033693333333333336,0.6329237017590543,1.3839649555555555
80211g,tcp,10.0,logdistance,15.624916333333333,1.5624916333333332,0.9981318879882514,0.0017209833333333335,0.41238399047991153,0.7812458166666666
80211g,tcp,20.0,logdistance,15.487969333333332,0.7743984666666667,0.9963511335137226,0.0010357888888888889,0.21425107061907225,0.38719923333333334
80211g,tcp,30.0,logdistance,7.666876166666667,0.25556253888888886,0.9944832383560573,0.0007184962962962963,0.14256992106131258,0.12778126944444443
80211g,tcp,50.0,logdistance,7.7178049444444445,0.1543560988888889,0.990492835427764,0.0003901588888888888,0.08344290802435951,0.07717804944444445
